Case Ref No,Industry,LGA,WSP,Received Date,Finalisation Date,Offences,Finalisation Reason
00011-2020,Irrigation,Sutherland Shire,Greater Metropolitan Region Groundwater Sources ,Dec-19,Jan-20,60B - Contravention of terms and conditions of access licence,Low priority
00012-2018,Individual,Tweed,Tweed River Area Unregulated and Alluvial Water Sources ,Jul-17,Feb-20,345 - Harm to aquifers and waterfront land,Breach – enforcement response completed
00012-2020,Animal,Brewarrina,Barwon-Darling Unregulated and Alluvial Water Sources ,Jan-20,Dec-20, ,Duplicate Entry - refer to linked notification
00013-2020,Animal,Brewarrina,Barwon-Darling Unregulated and Alluvial Water Sources ,Jan-20,Dec-20, ,Medium priority – potential M&A audit
00014-2018,,Mid-Western Regional,Hunter Unregulated and Alluvial Water Sources ,Jan-18,Aug-18,"91B - Constructing or using water supply work, 91E - Carrying out controlled activity",Breach – enforcement response completed
00014-2019,Animal,Snowy Valleys,Murrumbidgee Unregulated and Alluvial Water Sources ,Jan-19,Jun-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 91H - Failure to install or maintain metering equipment",Breach – enforcement response completed
00014-2020,Animal,Brewarrina,Barwon-Darling Unregulated and Alluvial Water Sources ,Jan-20,Dec-20, ,Duplicate Entry - refer to linked notification
00015-2017,,Wollondilly,Greater Metropolitan Region Unregulated River Water Sources ,Jan-17,Oct-18,91E - Carrying out controlled activity,No breach – other
00015-2019,Industrial,Muswellbrook,Hunter Unregulated and Alluvial Water Sources ,Jan-19,Sep-19,"345 - Harm to aquifers and waterfront land, 91D - Constructing or using flood work, 91E - Carrying out controlled activity, 91G - Contravention of terms and conditions of approval",Low priority
00017-2018,,The Hills Shire,Greater Metropolitan Region Unregulated River Water Sources ,Jan-18,Sep-18,91E - Carrying out controlled activity,Breach – enforcement response completed
00017-2019,Animal,Muswellbrook,Hunter Unregulated and Alluvial Water Sources ,Jan-19,Aug-19,"345 - Harm to aquifers and waterfront land, 91D - Constructing or using flood work, 91E - Carrying out controlled activity",
00017-2020,Irrigation,Cabonne,Macquarie Bogan Unregulated and Alluvial Water Sources ,Dec-19,Jul-20,"60B - Contravention of terms and conditions of access licence, 91G(1), (2)-tier 2 - Using water with a water use approval-but not in accordance with the terms or conditions of the approval",No breach – other
00018-2016,Development,Liverpool,Greater Metropolitan Region Unregulated River Water Sources ,Jan-16,Oct-18,91B - Constructing or using water supply work,No breach – exempt
00018-2018,,Moree Plains,NSW Border Rivers Unregulated and Alluvial Water Sources ,Jan-18,Jun-18,91I - Taking water when metering equipment not working,Breach – enforcement response completed
00018-2019,Unknown,Walgett,Barwon-Darling Unregulated and Alluvial Water Sources ,Jan-19,Sep-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity, 91G - Contravention of terms and conditions of approval",Low priority
00018-2020,Irrigation,Forbes,Lachlan Unregulated and Alluvial Water Sources ,Jan-20,Jan-20,"60C - Taking water for which there is no, or insufficient, water allocation",Duplicate Entry - refer to linked notification
00019-2019,Individual,Wakool,Murray Unregulated and Alluvial Water Sources ,Jan-19,Apr-19,"60A - Taking water without, or otherwise than authorised by, an access licence",Breach – enforcement response completed
00019-2020,Unknown,Oberon,Macquarie Bogan Unregulated and Alluvial Water Sources ,Jan-20,Jan-20, ,Lack of information provided
00020-2019,Unknown,The Hills Shire,Greater Metropolitan Region Unregulated River Water Sources ,Jan-19,Sep-19,"345 - Harm to aquifers and waterfront land, 91B - Constructing or using water supply work, 91E - Carrying out controlled activity",Low priority
00020-2020,Unknown,Snowy Monaro Regional,South Coast Groundwater Sources ,Jan-20,Jul-20,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,No breach – exempt
00021-2019,Extractive,Muswellbrook,Hunter Unregulated and Alluvial Water Sources ,Jan-19,Jan-20,60B - Contravention of terms and conditions of access licence,Duplicate Entry - refer to linked notification
00021-2020,Unknown,Tamworth Regional,"Peel Valley Regulated, Unregulated, Alluvium and Fractured Rock Water Sources ",Jan-20,Sep-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Medium priority – potential M&A audit
00022-2018,,Goulburn Mulwaree,Greater Metropolitan Region Unregulated River Water Sources ,Jan-18,Dec-18,91B - Constructing or using water supply work,No breach – other
00023-2017,,Wollondilly,Greater Metropolitan Region Unregulated River Water Sources ,Jan-17,Aug-18,91E - Carrying out controlled activity,No breach – other
00023-2019,Crop / horticulture,Walgett,Intersecting Streams Unregulated and Alluvial Water Sources ,Jan-19,Mar-20,"60A - Taking water without, or otherwise than authorised by, an access licence",Duplicate Entry - refer to linked notification
00023-2020,Irrigation,Armidale Regional,North Coast Fractured and Porous Rock Groundwater Sources ,Jan-20,Mar-20,60B - Contravention of terms and conditions of access licence,Low priority
00024-2019,Unknown,Eurobodalla,Clyde River Unregulated and Alluvial Water Sources ,Jan-19,Jun-19,91E - Carrying out controlled activity,No breach – exempt
00024-2020,Irrigation,Mid-Western Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Jan-20,Sep-20,"91A - Using water without, or otherwise than as authorised by, a water use approval",Medium priority – potential M&A audit
00025-2018,,Cessnock,Hunter Unregulated and Alluvial Water Sources ,Jan-18,May-18,"60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00025-2019,Individual,Narromine,Macquarie Bogan Unregulated and Alluvial Water Sources ,Jan-19,Mar-19,60B - Contravention of terms and conditions of access licence,Breach – enforcement response completed
00025-2020,Other,Lismore,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jan-20,Apr-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach – exempt
00026-2017,,Palerang,Greater Metropolitan Region Unregulated River Water Sources ,Jan-17,Oct-18,91B - Constructing or using water supply work,Breach – enforcement response completed
00026-2019,Animal,Lismore,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jan-19,Jan-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00026-2020,Irrigation,Nambucca,Nambucca Unregulated and Alluvial Water Sources ,Jan-20,Jul-20, ,No breach – authorised by licence/approval
00027-2018,Industrial,Tweed,Tweed River Area Unregulated and Alluvial Water Sources ,Jan-18,Mar-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00027-2019,Individual,Gwydir,Gwydir Unregulated and Alluvial Water Sources ,Jan-19,Feb-20,"91B - Constructing or using water supply work, 91E - Carrying out controlled activity",Breach – enforcement response completed
00027-2020,Development,Dungog,Hunter Unregulated and Alluvial Water Sources ,Jan-20,Jan-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Low priority
00028-2019,Crop / horticulture,Coffs Harbour,Clarence River Unregulated and Alluvial Water Sources ,Dec-18,Jul-19,91G - Contravention of terms and conditions of approval,Breach – enforcement response completed
00029-2020,Animal,Richmond Valley,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Dec-19,Jul-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Breach – enforcement response completed
00030-2017,Other,Bega Valley,Towamba River Unregulated and Alluvial Water Sources ,Jan-17,May-18,91E - Carrying out controlled activity,Breach – enforcement response completed
00030-2019,Crop / horticulture,Queanbeyan-Palerang Regional,Greater Metropolitan Region Unregulated River Water Sources ,Jan-19,Sep-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",No breach – other
00030-2020,Urban,Berrigan,Lower Murray Groundwater Sources ,Jan-20,Mar-20,"60A(2)-tier 2 - Taking water without an access licence, 91G(1), (2)-tier 2 - Constructing or using a water supply work with a water supply work approval-but not in accordance with the terms or conditions of the approval",Breach – enforcement response completed
00031-2017,,Wingecarribee,Greater Metropolitan Region Unregulated River Water Sources ,Jan-17,Sep-18,91E - Carrying out controlled activity,No further action required
00031-2018,Other,Tamworth Regional,Namoi Unregulated and Alluvial Water Sources ,Jan-18,Jan-19,"60A - Taking water without, or otherwise than authorised by, an access licence",No further action required
00031-2019,Crop / horticulture,Lockhart,Murrumbidgee Unregulated and Alluvial Water Sources ,Jan-19,Sep-19,"91E - Carrying out controlled activity, 91G - Contravention of terms and conditions of approval",Low priority
00032-2016,Development,Wingecarribee,Greater Metropolitan Region Unregulated River Water Sources ,Jan-16,Apr-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00032-2018,,Tamworth Regional,Gwydir Unregulated and Alluvial Water Sources ,Jan-18,Oct-18,91E - Carrying out controlled activity,No breach – other
00032-2019,Unknown,Lithgow,Greater Metropolitan Region Unregulated River Water Sources ,Jan-19,Aug-19,91E - Carrying out controlled activity,No breach – other
00032-2020,Irrigation,Mid-Coast,Lower North Coast Unregulated and Alluvial Water Sources ,Nov-19,Jan-20,"60B - Contravention of terms and conditions of access licence, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval, 91G(1), (2)-tier 2 - Using water with a water use approval-but not in accordance with the terms or conditions of the approval",No breach – authorised by licence/approval
00033-2019,Crop / horticulture,Inverell,NSW Border Rivers Unregulated and Alluvial Water Sources ,Jan-19,Mar-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00033-2020,Other,Greater Hume,Lower North Coast Unregulated and Alluvial Water Sources ,Jan-20,Sep-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Breach – enforcement response completed
00034-2017,,Bega Valley,"Bega and Brogo Rivers Area Regulated, Unregulated and Alluvial Water Sources ",Jan-17,Feb-19,91E - Carrying out controlled activity,No breach – exempt
00034-2019,Unknown,Moree Plains,Gwydir Unregulated and Alluvial Water Sources ,Jan-19,Apr-20,91D - Constructing or using flood work,Breach – enforcement response completed
00034-2020,Unknown,Coffs Harbour,Clarence River Unregulated and Alluvial Water Sources ,Jan-20,Mar-20,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach – exempt
00035-2019,Crop / horticulture,Tamworth Regional,Namoi Unregulated and Alluvial Water Sources ,Jan-19,Feb-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach – other
00035-2020,Other,Inverell,Gwydir Unregulated and Alluvial Water Sources ,Jan-20,Oct-20,"60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00036-2017,,Moree Plains,Gwydir Unregulated and Alluvial Water Sources ,Jan-17,Dec-18,91D - Constructing or using flood work,Breach – enforcement response completed
00036-2018,Residential,Upper Hunter,Lachlan Unregulated and Alluvial Water Sources ,Jan-18,Aug-19,91B - Constructing or using water supply work,Breach – enforcement response completed
00036-2020,Development,Bellingen,Bellinger River Area Unregulated and Alluvial Water Sources ,Jan-20,Apr-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,No breach – other
00037-2017,Urban,Bankstown,Greater Metropolitan Region Unregulated River Water Sources ,Jan-17,Feb-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",Breach – enforcement response completed
00037-2019,Unknown,Warrumbungle,Castlereagh River Unregulated and Alluvial Water Sources ,Jan-19,Mar-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation, Aquifer Interference Activity",No further action required
00038-2018,,Liverpool,Greater Metropolitan Region Unregulated River Water Sources ,Jan-18,Jul-18,"60A - Taking water without, or otherwise than authorised by, an access licence, 60D - Taking water otherwise than from a nominated water supply work",Breach – enforcement response completed
00038-2020,Unknown,Snowy Valleys,Murrumbidgee Unregulated and Alluvial Water Sources ,Jan-20,Jan-20,"60A - Taking water without, or otherwise than authorised by, an access licence",Low priority
00039-2019,Animal,Tamworth Regional,"Peel Valley Regulated, Unregulated, Alluvium and Fractured Rock Water Sources ",Jan-19,Sep-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation, Aquifer Interference Activity",Low priority
00039-2020,Irrigation,Mid-Western Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Jan-20,Sep-20,91H(3) - tier 2 - Failure to comply with a standard or requirement for metering equipment,No breach - insufficient evidence
00040-2019,,Yass Valley,Murrumbidgee Unregulated and Alluvial Water Sources ,Jan-19,Mar-19,91B - Constructing or using water supply work,No breach – other
00041-2019,Crop / horticulture,Inverell,NSW Border Rivers Unregulated and Alluvial Water Sources ,Jan-19,Jun-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 91H - Failure to install or maintain metering equipment",Breach – enforcement response completed
00041-2020,Irrigation,Coffs Harbour,Coffs Harbour Area Unregulated and Alluvial Water Sources ,Jan-20,May-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval",Breach – enforcement response completed
00042-2017,,Kiama,Greater Metropolitan Region Unregulated River Water Sources ,Feb-17,Feb-19,91E - Carrying out controlled activity,Breach – enforcement response completed
00042-2019,Unknown,Hilltops,Lachlan Unregulated and Alluvial Water Sources ,Jan-19,May-20,"345 - Harm to aquifers and waterfront land, 91B - Constructing or using water supply work",No breach – exempt
00042-2020,Unknown,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Jan-20,Feb-20,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,No breach – other
00043-2019,Crop / horticulture,Byron,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jan-19,Sep-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60B - Contravention of terms and conditions of access licence",No breach – other
00043-2020,Irrigation,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Jan-20,Aug-20,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,No breach – authorised by licence/approval
00044-2019,Development,Tenterfield,NSW Border Rivers Unregulated and Alluvial Water Sources ,Jan-19,Feb-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",Lack of information provided
00044-2020,Unknown,Tenterfield,NSW Border Rivers Unregulated and Alluvial Water Sources ,Dec-19,May-20,"91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval, 91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval",Breach – enforcement response completed
00045-2019,Unknown,Kyogle,Clarence River Unregulated and Alluvial Water Sources ,Jan-19,Jul-19,60B - Contravention of terms and conditions of access licence,
00045-2020,Other,Junee,Murrumbidgee Unregulated and Alluvial Water Sources ,Jan-20,Feb-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60D - Taking water otherwise than from a nominated water supply work, 91A - Using water without, or otherwise than as authorised by, a water use approval",Low priority
00046-2016,Unknown,Upper Hunter,Hunter Unregulated and Alluvial Water Sources ,Jan-16,Feb-20,91E - Carrying out controlled activity,No breach - insufficient evidence
00046-2018,,Clarence Valley,Clarence River Unregulated and Alluvial Water Sources ,Jan-18,Dec-18,91B - Constructing or using water supply work,Breach – enforcement response completed
00046-2019,Crop / horticulture,Wentworth,NSW Murray and Lower Darling Regulated Rivers Water Sources ,Jan-19,Dec-19,"60A(3)-tier 1 - Taking water with an access licence-but not in accordance with the access licence (Includes taking water while an access licence is suspended.), 60D-tier 2 - Taking water with an access licence-but not from a nominated water supply work or extraction point, 91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval",Breach – enforcement response completed
00047-2019,Development,The Hills Shire,Greater Metropolitan Region Unregulated River Water Sources ,Jan-19,Mar-19,"345 - Harm to aquifers and waterfront land, 91B - Constructing or using water supply work, 91D - Constructing or using flood work, 91E - Carrying out controlled activity",No breach – referred to another agency
00047-2020,Individual,Muswellbrook,North Coast Fractured and Porous Rock Groundwater Sources ,Jan-20,May-20,91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval,Low priority
00048-2018,,Singleton,Hunter Unregulated and Alluvial Water Sources ,Jan-18,Jun-18,"346 - Unauthorised bore drilling, 91B - Constructing or using water supply work",Other (details in running log)
00048-2019,Crop / horticulture,Kyogle,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jan-19,Mar-19,60B - Contravention of terms and conditions of access licence,No breach – other
00048-2020,Other,Port Macquarie-Hastings,Draft Hastings Unregulated and Alluvial Water Sources ,Jan-20,Mar-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Low priority
00049-2018,,Singleton,Hunter Unregulated and Alluvial Water Sources ,Jan-18,Sep-18,91B - Constructing or using water supply work,No breach – other
00049-2019,Crop / horticulture,Tenterfield,Clarence River Unregulated and Alluvial Water Sources ,Jan-19,Feb-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach – other
00049-2020,Industrial,Mid-Western Regional,NSW Murray Darling Basin Fractured Rock Groundwater Sources ,Jan-20,Jan-20,60B - Contravention of terms and conditions of access licence,Duplicate Entry - refer to linked notification
00050-2019,Other,Liverpool Plains,Upper and Lower Namoi Groundwater Sources ,Jan-19,Aug-19,"60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Breach – enforcement response completed
00050-2020,Irrigation,Richmond Valley,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jan-20,Jul-20, ,No breach – authorised by licence/approval
00051-2018,,Goulburn Mulwaree,Greater Metropolitan Region Unregulated River Water Sources ,Jan-18,Dec-18,91B - Constructing or using water supply work,No breach – referred to another agency
00051-2019,Development,Walgett,Barwon-Darling Unregulated and Alluvial Water Sources ,Jan-19,Sep-19,"345 - Harm to aquifers and waterfront land, 91D - Constructing or using flood work, 91E - Carrying out controlled activity",Low priority
00051-2020,Unknown,Ballina,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Dec-19,Jan-20,91E(1)-tier 2 - Carrying out a controlled activity without a controlled activity approval,Duplicate Entry - refer to linked notification
00052-2019,Development,Albury,Murray Unregulated and Alluvial Water Sources ,Jan-19,Sep-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity, 91G - Contravention of terms and conditions of approval",Low priority
00052-2020,Irrigation,Gunnedah,Namoi Unregulated and Alluvial Water Sources ,Jan-20,Jul-20,"91G(1), (2)-tier 2 - Constructing or using a flood work with a flood work approval but not in accordance with the terms or conditions of the approval",No breach - insufficient evidence
00053-2019,,Yass Valley,Murrumbidgee Unregulated and Alluvial Water Sources ,Dec-18,Mar-19,"91B - Constructing or using water supply work, 91E - Carrying out controlled activity",Breach – enforcement response completed
00053-2020,Other,Moree Plains,Gwydir Unregulated and Alluvial Water Sources ,Jan-20,Oct-20,91D(1)-tier 2 - Constructing or using a flood work without a flood work approval,Breach – enforcement response completed
00054-2018,,Lane Cove,Greater Metropolitan Region Unregulated River Water Sources ,Jan-18,Mar-19,91E - Carrying out controlled activity,No breach – authorised by licence/approval
00054-2019,Development,Albury,Murray Unregulated and Alluvial Water Sources ,Jan-19,Sep-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity",Low priority
00055-2010,Unknown,Bland,Lachlan Unregulated and Alluvial Water Sources ,Jan-10,Sep-18,91E - Carrying out controlled activity,Breach – enforcement response completed
00055-2019,Individual,Richmond Valley,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jan-19,Sep-19,"60B - Contravention of terms and conditions of access licence, 91A - Using water without, or otherwise than as authorised by, a water use approval",Low priority
00055-2020,Irrigation,Moree Plains,Lower Gwydir Groundwater Source ,Jan-20,Dec-20,60B - Contravention of terms and conditions of access licence,Breach – enforcement response completed
00056-2019,Unknown,Tweed,Tweed River Area Unregulated and Alluvial Water Sources ,Jan-19,Sep-19,91E - Carrying out controlled activity,No breach – referred to another agency
00056-2020,Crop / horticulture,Fairfield,Greater Metropolitan Region Unregulated River Water Sources ,Jan-20,Sep-20,"60A(1)-tier 1 - Taking water without an access licence, 91B(1)-tier 2 - Constructing or using a water supply work without a water supply work approval",No breach - insufficient evidence
00057-2019,Development,Upper Hunter,Hunter Unregulated and Alluvial Water Sources ,Jan-19,Mar-19,91E - Carrying out controlled activity,Lack of information provided
00057-2020,Residential,Lismore,"Richmond River Area Unregulated, Regulated and Alluvial Water Sources ",Jan-20,Mar-20,"60A - Taking water without, or otherwise than authorised by, an access licence",Low priority
00058-2019,Individual,Balranald,Lower Murray-Darling Unregulated and Alluvial Water Sources ,Jan-19,Mar-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation",No breach – authorised by licence/approval
00059-2019,Development,Tweed,Tweed River Area Unregulated and Alluvial Water Sources ,Jan-19,Sep-19,91E - Carrying out controlled activity,Low priority
00059-2020,Irrigation,Narromine,Lower Macquarie Groundwater Source ,Jan-20,Mar-20,"60C - Taking water for which there is no, or insufficient, water allocation",No breach – other
00060-2015,Unknown,Hawkesbury,Greater Metropolitan Region Unregulated River Water Sources ,Feb-15,Jun-18,91E - Carrying out controlled activity,Breach – enforcement response completed
00060-2018,,Campbelltown,Greater Metropolitan Region Unregulated River Water Sources ,Jan-18,Sep-18,91B - Constructing or using water supply work,Breach – enforcement response completed
00060-2019,Crop / horticulture,Upper Hunter,Hunter Unregulated and Alluvial Water Sources ,Jan-19,Jun-19,"60B - Contravention of terms and conditions of access licence, Aquifer Interference Activity",No breach – other
00060-2020,Unknown,Tamworth Regional,Namoi Unregulated and Alluvial Water Sources ,Jan-20,May-20,60B - Contravention of terms and conditions of access licence,No breach – other
00061-2018,Unknown,Bathurst Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Jan-18,Aug-19,91B - Constructing or using water supply work,Breach – enforcement response completed
00061-2019,Development,Queanbeyan-Palerang Regional,Greater Metropolitan Region Unregulated River Water Sources ,Jan-19,Sep-19,"345 - Harm to aquifers and waterfront land, 91E - Carrying out controlled activity, Aquifer Interference Activity",No breach – referred to another agency
00062-2017,,Kempsey,Macleay Unregulated and Alluvial Water Source ,Feb-17,Nov-18,"60A - Taking water without, or otherwise than authorised by, an access licence, 60D - Taking water otherwise than from a nominated water supply work",Breach – enforcement response completed
00062-2019,Crop / horticulture,Tamworth Regional,Namoi Unregulated and Alluvial Water Sources ,Jan-19,Sep-19,"60A - Taking water without, or otherwise than authorised by, an access licence, 60B - Contravention of terms and conditions of access licence, 60C - Taking water for which there is no, or insufficient, water allocation",Low priority
00062-2020,Irrigation,Inverell,NSW Border Rivers Regulated River Water Source ,Jan-20,Feb-20,"60A - Taking water without, or otherwise than authorised by, an access licence, 60C - Taking water for which there is no, or insufficient, water allocation, 91A - Using water without, or otherwise than as authorised by, a water use approval",No breach – other
00063-2016,,Bathurst Regional,Macquarie Bogan Unregulated and Alluvial Water Sources ,Jan-16,Nov-18,91E - Carrying out controlled activity,Breach – enforcement response completed
